	C10_S10_bmtagger_1	C11_S11_bmtagger_1	D01_S13_bmtagger_1	D03_S15_bmtagger_1	D04_S16_bmtagger_1	D05_S17_bmtagger_1	D06_S18_bmtagger_1	D07_S19_bmtagger_1	F11_S47_bmtagger_1	GCF_000072485.1_ASM7248v1_genomic	GCF_002208885.1_ASM220888v1_genomic	GCF_900186865.1_49243_F02_genomic
g024766	1	1	0	0	0	0	0	0	1	0	1	0
g024767	1	1	0	0	0	0	0	0	1	0	1	0
g024768	1	1	0	0	0	0	0	0	1	0	1	0
g024769	1	0	0	0	0	0	0	0	1	0	1	0
g024770	0	1	0	0	0	0	0	0	0	0	1	0
g024771	0	0	0	0	0	0	0	0	0	0	1	0
g024772	0	0	0	0	0	0	0	0	0	0	1	0
g024773	0	0	0	0	0	0	0	0	0	0	1	0
g024774	0	0	0	0	0	0	0	0	0	0	1	0
g024775	0	0	0	0	0	0	0	0	0	0	1	0
g024776	0	0	0	0	0	0	0	0	0	0	1	0
g024777	0	0	0	0	0	0	0	0	0	0	1	0
g024778	0	0	0	0	0	0	0	0	0	0	1	0
g024779	1	1	0	0	0	0	0	0	1	0	1	0
g024780	1	1	0	0	0	0	0	0	1	0	1	0
g024781	1	1	0	0	0	0	0	0	1	0	1	0
g024782	1	1	0	0	0	0	0	0	1	0	1	0
g024783	0	0	0	0	0	0	0	0	0	0	1	0
g024784	0	0	0	0	0	0	0	0	0	0	1	0
g024785	0	0	0	0	0	0	0	0	0	0	1	0
g024786	0	0	0	0	0	0	0	0	0	0	1	0
g024787	0	0	0	0	0	0	0	0	0	0	1	0
g024788	0	0	0	0	0	0	0	0	0	0	1	0
g024789	0	0	0	0	0	0	0	0	0	0	1	0
g024790	0	0	0	0	0	0	0	0	0	0	1	0
g024791	0	0	0	0	0	0	0	0	0	0	1	0
g024792	0	0	0	0	0	0	0	0	0	0	1	0
g024793	0	0	0	0	0	0	0	0	0	0	1	0
g024794	0	0	0	0	0	0	0	0	0	0	1	0
g024795	0	0	0	0	0	0	0	0	0	0	1	0
g024796	0	0	0	0	0	0	0	0	0	0	1	0
g024797	0	0	0	0	0	0	0	0	0	0	1	0
g024798	1	1	1	1	1	1	1	1	1	1	1	0
g024799	0	1	1	1	1	1	1	1	0	1	1	1
g024800	0	1	1	1	1	1	1	1	1	1	1	1
g024801	0	1	1	1	1	1	1	1	1	1	1	1
g024802	1	1	1	1	1	1	1	1	1	1	1	1
g024803	1	1	1	1	1	1	1	1	1	1	1	1
g024804	1	1	1	0	1	0	1	0	1	1	1	0
g024805	0	1	0	0	0	0	0	0	1	0	1	1
g024806	0	0	1	1	1	1	1	1	0	0	1	0
g024807	1	1	1	1	1	1	1	1	1	0	1	1
g024808	1	1	1	1	1	1	1	1	1	1	1	1
g024809	1	1	1	1	1	1	1	1	1	1	1	1
g024810	0	1	1	1	1	1	1	0	1	1	1	1
g024811	1	1	1	1	1	1	1	1	1	1	1	1
g024812	1	1	1	1	1	1	1	1	1	1	1	1
g024813	1	1	1	1	1	1	1	1	1	1	1	1
g024814	0	0	0	0	0	0	0	0	0	0	1	0
g024815	1	1	1	1	1	1	1	1	1	1	1	1
g024816	1	1	1	1	1	1	1	1	1	1	1	0
g024817	1	1	1	1	1	1	1	1	1	1	1	1
g024818	1	1	1	1	1	1	1	1	1	1	1	1
g024819	1	1	1	1	1	1	1	1	1	1	1	1
g024820	1	1	1	1	1	1	1	1	1	1	1	1
g024821	1	1	1	1	1	1	1	1	1	1	1	0
g024822	1	1	1	1	1	1	1	1	1	0	1	1
g024823	1	1	0	1	0	1	1	0	1	0	1	1
g024824	0	0	0	0	0	0	0	0	0	0	1	0
g024825	1	1	1	1	1	1	1	1	1	1	1	0
g024826	1	1	1	1	1	1	1	1	1	1	1	0
g024827	1	1	1	1	1	1	1	1	1	1	1	0
g024828	0	0	1	1	1	1	1	0	0	0	1	0
g024829	0	1	0	0	0	0	0	0	1	0	1	0
g024830	1	1	0	0	0	0	0	1	1	0	1	0
g024831	1	1	1	1	1	1	1	1	1	1	1	0
g024832	1	0	1	1	1	1	1	0	1	1	1	0
g024833	1	1	1	1	1	1	1	1	1	1	1	0
g024834	1	1	1	1	1	1	1	1	1	1	1	1
g024835	0	0	0	0	0	0	0	1	1	0	1	0
g024836	0	0	1	0	0	0	0	0	0	0	1	0
g024837	0	0	1	1	1	0	1	1	0	0	1	0
g024838	0	0	0	0	0	0	0	0	0	0	1	0
g024839	1	1	1	1	1	1	1	1	1	1	1	1
g024840	1	0	0	0	1	0	0	0	0	0	1	0
g024841	1	1	1	1	1	1	1	0	1	1	1	1
g024842	1	1	1	1	1	1	1	1	1	1	1	0
g024843	1	1	1	1	1	1	1	1	1	1	1	0
g024844	1	1	1	1	1	1	1	0	1	1	1	0
g024845	0	0	0	0	0	0	0	0	0	0	1	0
g024846	1	1	1	1	1	1	1	1	1	1	1	1
g024847	1	1	1	1	1	1	1	1	1	1	1	1
g024848	1	1	1	1	1	1	1	1	1	1	1	1
g024849	0	1	1	1	1	1	1	1	1	1	1	0
g024850	0	0	0	0	0	0	0	0	0	0	1	0
g024851	1	1	1	1	1	1	1	1	1	1	1	1
g024852	1	1	1	1	1	1	1	1	1	1	1	1
g024853	0	1	1	1	1	1	1	1	1	1	1	1
g024854	1	1	1	1	1	1	1	1	1	1	1	1
g024855	0	0	0	0	0	0	0	0	0	0	1	0
g024856	1	1	1	1	1	1	1	1	1	1	1	1
g024857	0	0	0	0	0	0	0	0	0	0	1	0
g024858	0	0	0	0	0	0	0	0	0	0	1	0
g024859	1	1	0	0	0	0	0	0	1	0	1	0
g024860	1	1	1	1	1	1	1	1	1	0	1	1
g024861	1	1	1	1	1	1	1	1	1	0	1	0
g024862	1	1	1	1	1	1	1	0	1	1	1	1
g024863	0	1	1	1	1	1	1	1	1	1	1	1
g024864	0	1	1	0	0	0	0	0	0	0	1	1
g024865	1	1	1	1	1	1	1	1	1	1	1	1
g024866	0	0	0	1	1	1	1	0	0	0	1	0
g024867	0	1	0	0	0	0	0	0	0	0	1	0
g024868	1	1	1	1	1	1	1	1	1	1	1	1
g024869	1	1	1	1	1	1	1	1	1	1	1	1
g024870	0	0	1	1	0	1	1	1	0	1	1	0
g024871	1	1	1	1	1	1	1	1	1	1	1	1
g024872	0	1	1	1	0	1	1	1	1	1	1	1
g024873	1	1	1	1	1	1	0	1	1	1	1	1
g024874	1	1	1	1	1	1	1	1	1	1	1	1
g024875	1	0	0	0	0	1	0	1	0	0	1	1
g024876	0	0	0	0	0	0	0	0	0	0	1	0
g024877	1	1	1	1	1	1	1	1	1	1	1	1
g024878	0	1	1	1	1	1	1	1	1	1	1	1
g024879	1	1	1	1	1	1	1	1	0	0	1	0
g024880	0	0	0	0	0	0	0	0	0	0	1	0
g024881	1	1	0	0	0	0	0	0	1	0	1	0
g024882	0	0	0	0	0	0	0	0	0	0	1	0
g024883	1	1	1	1	1	1	1	1	1	1	1	1
g024884	1	1	0	1	1	0	0	0	1	1	1	0
g024885	1	1	1	1	1	1	1	1	1	1	1	1
g024886	1	1	1	1	1	1	1	0	1	0	1	0
g024887	1	1	1	1	1	1	1	1	1	1	1	0
g024888	1	1	1	1	1	1	1	1	1	0	1	0
g024889	1	1	0	0	0	0	0	0	1	0	1	0
g024890	1	1	0	1	0	1	1	1	1	0	1	1
g024891	0	0	0	0	0	0	0	0	0	0	1	0
g024892	1	1	1	1	0	0	1	1	0	0	1	0
g024893	0	0	0	0	0	0	0	0	0	0	1	0
g024894	1	1	1	1	1	1	1	1	0	0	1	0
g024895	1	1	1	1	1	1	1	1	1	1	1	1
g024896	1	1	0	1	0	0	1	1	1	0	1	1
g024897	1	1	0	0	0	0	0	0	0	0	1	0
g024898	1	0	0	0	0	0	0	0	0	0	1	0
g024899	1	1	1	1	1	1	1	1	1	1	1	1
g024900	1	1	1	1	1	1	1	1	1	1	1	1
g024901	0	0	0	0	0	0	0	0	0	1	1	0
g024902	1	1	1	1	1	1	1	1	1	1	1	1
g024903	1	1	0	0	0	0	0	1	0	0	1	0
g024904	1	1	0	0	0	0	0	0	0	0	1	0
g024905	1	1	1	1	1	1	1	0	1	1	1	1
g024906	0	0	0	0	0	0	0	0	0	0	1	0
g024907	0	0	0	0	0	0	0	0	0	0	1	0
g024908	0	0	0	0	0	0	0	0	0	0	1	0
g024909	0	0	0	0	0	0	0	0	0	0	1	0
g024910	0	0	0	0	0	0	0	0	0	0	1	0
g024911	0	0	0	0	0	0	0	0	0	0	1	0
g024912	0	0	0	0	0	0	0	0	0	0	1	0
g024913	0	0	0	0	0	0	0	0	0	0	1	0
g024914	0	0	0	0	0	0	0	0	0	0	1	0
g024915	0	0	0	0	0	0	0	0	0	0	1	0
g024916	1	1	1	1	1	1	1	1	0	1	1	0
g024917	1	1	1	1	1	1	1	1	1	1	1	1
g024918	1	1	1	1	1	1	1	1	1	1	1	1
g024919	1	1	1	1	1	1	1	1	1	0	1	1
g024920	1	1	1	1	1	1	1	1	1	0	1	0
g024921	0	0	0	0	0	0	0	0	0	0	1	0
g024922	1	1	1	1	1	1	1	1	1	1	1	1
g024923	1	1	1	1	1	1	1	1	1	1	1	1
g024924	1	1	1	1	1	1	1	1	1	1	1	1
g024925	1	1	0	0	0	0	0	0	0	0	1	0
g024926	1	1	1	1	1	1	1	1	1	1	1	0
g024927	1	1	0	0	0	0	0	0	0	0	1	0
g024928	1	1	0	0	0	0	0	0	0	0	1	0
g024929	1	1	0	0	0	0	0	0	0	0	1	0
g024930	0	0	0	0	0	0	0	0	0	0	1	0
g024931	0	0	0	0	0	0	0	0	0	0	1	0
g024932	0	0	0	0	0	0	0	0	0	0	1	0
g024933	0	0	0	0	0	0	0	0	0	0	1	0
g024934	0	0	0	0	0	0	0	0	0	0	1	0
g024935	0	0	0	0	0	0	0	0	0	0	1	0
g024936	0	0	0	0	0	0	0	0	0	0	1	0
g024937	0	0	0	0	0	0	0	0	0	0	1	0
g024938	0	0	0	0	0	0	0	0	0	0	1	0
g024939	0	0	0	0	0	0	0	0	0	0	1	0
g024940	0	0	0	0	0	0	0	0	0	0	1	0
g024941	0	0	0	0	0	0	0	0	0	0	1	0
g024942	0	0	0	0	0	0	0	0	0	0	1	0
g024943	1	1	0	0	0	0	0	0	0	0	1	0
g024944	0	0	0	0	0	0	0	0	1	0	1	0
g024945	0	0	0	0	0	0	0	0	1	0	1	0
g024946	1	1	0	0	0	0	0	0	1	0	1	0
g024947	1	1	0	0	0	0	0	0	1	0	1	0
g024948	1	1	0	0	0	0	0	0	1	0	1	0
g024949	1	0	0	0	0	0	0	0	1	0	1	0
g024950	1	1	0	0	0	0	0	0	1	0	1	0
g024951	1	1	0	0	0	0	0	0	1	0	1	0
g024952	0	1	0	0	0	0	0	0	1	0	1	0
g024953	1	1	0	0	0	0	0	0	1	0	1	0
g024954	1	1	0	0	0	0	0	0	1	0	1	0
g024955	1	1	0	0	0	0	0	0	1	0	1	0
g024956	1	1	0	0	0	0	0	0	1	0	1	0
g024957	1	1	0	0	0	0	0	0	0	0	1	0
g024958	0	0	0	0	0	0	0	0	1	0	1	0
g024959	0	0	0	0	0	0	0	0	0	0	1	0
g024960	1	0	0	0	0	0	0	0	0	0	1	0
g024961	1	1	0	0	0	0	0	0	1	0	1	0
g024962	1	1	0	0	0	0	0	0	1	0	1	0
g024963	1	1	0	0	0	0	0	0	1	0	1	0
g024964	1	1	0	0	0	0	0	0	1	0	1	0
g024965	1	1	1	1	1	1	1	1	1	1	1	1
g024966	1	1	1	1	1	1	1	1	1	1	1	1
g024967	1	0	0	0	1	0	0	0	0	0	1	0
g024968	0	1	1	1	1	1	1	1	1	1	1	1
g024969	1	0	0	0	0	0	0	0	0	0	1	0
g024970	0	1	1	1	1	1	1	1	1	0	1	0
g024971	1	1	1	1	1	1	1	0	1	0	1	0
g024972	0	1	1	1	1	1	1	1	0	0	1	0
g024973	0	1	1	1	1	1	1	1	1	0	1	0
g024974	0	0	0	0	0	0	0	0	0	1	1	0
g024975	1	0	0	1	0	0	1	1	1	1	1	1
g024976	1	1	1	1	1	1	1	1	1	1	1	1
g024977	1	1	1	1	1	1	1	1	1	1	1	1
g024978	1	1	1	1	1	1	1	1	1	1	1	1
g024979	0	0	0	0	0	0	0	0	0	0	1	0
g024980	1	1	1	1	1	1	1	1	1	1	1	1
g024981	0	0	0	0	0	0	0	0	0	0	1	0
g024982	1	1	1	1	1	1	1	1	1	1	1	1
g024983	1	1	1	1	1	1	1	1	1	1	1	1
g024984	0	0	0	0	0	0	0	0	0	0	1	0
g024985	1	1	1	1	1	1	1	1	1	1	1	1
g024986	1	1	1	1	1	1	1	1	1	1	1	1
g024987	0	0	0	0	0	1	0	0	0	0	1	0
g024988	0	1	1	1	1	1	1	1	1	1	1	1
g024989	0	0	1	1	1	1	1	0	0	0	1	0
g024990	1	0	0	0	0	0	0	0	0	0	1	0
g024991	1	1	0	1	1	1	1	0	1	0	1	0
g024992	0	1	1	1	1	1	1	1	1	1	1	1
g024993	1	1	1	1	1	1	1	1	1	1	1	1
g024994	0	1	1	1	1	1	1	1	1	1	1	1
g024995	1	1	1	1	1	1	1	1	1	1	1	1
g024996	0	0	0	1	0	1	0	0	0	0	1	0
g024997	1	0	0	0	0	1	0	1	0	0	1	0
g024998	1	1	1	1	1	1	1	1	1	1	1	1
g024999	0	0	0	0	0	0	0	0	0	0	1	0
g025000	1	1	0	0	0	0	0	0	1	0	1	0
g025001	1	1	1	1	1	1	1	1	1	1	1	1
g025002	1	1	1	1	1	1	1	1	1	1	1	1
g025003	1	1	1	1	1	1	1	1	1	1	1	0
g025004	1	1	1	1	1	1	1	1	1	1	1	1
g025005	0	0	0	0	0	0	0	0	0	0	1	0
g025006	1	1	1	1	1	1	1	1	1	1	1	1
g025007	1	1	1	1	1	1	1	1	1	1	1	1
g025008	1	1	1	1	1	1	1	1	1	1	1	1
g025009	1	1	1	1	1	1	1	1	1	1	1	0
g025010	0	0	1	1	1	1	1	1	1	1	1	1
g025011	1	1	1	1	1	1	1	1	1	1	1	1
g025012	0	0	1	1	1	1	1	1	0	0	1	0
g025013	1	1	1	1	1	1	1	1	1	1	1	1
g025014	1	1	1	1	1	1	1	1	1	1	1	0
g025015	1	1	1	1	1	1	1	1	1	1	1	1
g025016	1	1	1	1	1	1	1	1	1	1	1	1
g025017	1	1	1	1	1	1	1	0	1	1	1	0
g025018	1	1	1	1	1	1	1	1	1	1	1	1
g025019	0	0	0	1	0	1	1	0	1	0	1	0
g025020	1	1	1	1	0	0	0	1	1	0	1	1
g025021	0	0	0	0	0	0	0	0	0	0	1	0
g025022	0	0	0	0	0	0	0	0	0	0	1	0
g025023	0	1	1	1	1	1	1	1	1	1	1	1
g025024	1	1	1	1	1	1	1	1	1	1	1	1
g025025	1	1	1	1	1	1	1	1	1	1	1	1
g025026	1	1	1	1	1	1	1	1	1	1	1	1
g025027	1	1	1	1	1	1	1	1	1	1	1	1
g025028	1	0	0	0	0	0	0	0	0	0	1	0
g025029	0	0	0	0	0	0	0	1	0	0	1	0
g025030	1	1	1	1	1	1	1	1	1	1	1	1
g025031	1	1	1	1	1	1	1	1	1	1	1	1
g025032	0	0	1	1	0	1	1	1	0	0	1	0
g025033	0	0	0	0	0	0	0	0	0	0	1	0
g025034	0	1	1	1	1	1	1	1	1	1	1	1
g025035	1	0	0	1	1	1	1	1	1	0	1	1
g025036	0	1	1	1	1	1	1	1	1	1	1	1
g025037	1	1	1	1	1	1	1	1	1	1	1	1
g025038	0	1	1	1	1	1	1	1	1	1	1	1
g025039	1	1	1	1	1	1	1	1	1	1	1	1
g025040	1	1	1	1	1	1	1	1	1	1	1	1
g025041	1	1	1	1	1	1	1	1	1	1	1	1
g025042	0	0	0	0	0	0	0	0	0	0	1	0
g025043	1	1	1	1	1	1	1	1	1	1	1	1
g025044	0	0	1	1	1	1	1	0	0	1	1	0
g025045	0	0	1	1	1	1	1	1	0	1	1	0
g025046	0	0	1	1	1	1	1	1	0	1	1	0
g025047	0	0	1	1	1	1	1	1	0	1	1	0
g025048	0	0	0	0	0	1	1	1	0	0	1	0
g025049	0	0	1	1	1	1	1	1	0	0	1	0
g025050	0	0	1	1	1	1	1	1	0	0	1	0
g025051	0	0	1	1	1	1	1	1	0	1	1	0
g025052	0	0	1	1	1	1	1	1	0	1	1	0
g025053	1	0	1	1	1	1	1	1	0	1	1	0
g025054	0	0	1	1	1	1	1	1	0	0	1	0
g025055	0	1	1	1	1	1	1	1	1	0	1	0
g025056	0	0	1	1	1	1	1	1	0	0	1	0
g025057	0	0	1	1	1	1	1	1	0	0	1	0
g025058	0	0	1	1	1	1	1	1	0	0	1	0
g025059	0	0	1	1	1	1	1	1	0	0	1	0
g025060	0	0	1	1	1	1	1	1	0	0	1	0
g025061	0	0	1	1	1	1	1	1	0	0	1	0
g025062	0	0	1	1	1	1	1	1	0	0	1	0
g025063	0	0	1	1	1	1	1	1	0	0	1	0
g025064	0	0	1	1	1	1	1	1	0	0	1	0
g025065	1	1	1	1	1	1	1	1	1	1	1	1
g025066	1	1	1	1	1	1	1	1	1	1	1	1
g025067	0	1	0	0	0	0	0	0	1	0	1	0
g025068	1	0	0	0	0	0	0	0	0	0	1	0
g025069	0	1	1	1	0	1	1	1	1	1	1	0
g025070	0	0	0	0	0	0	0	0	0	0	1	0
g025071	1	1	0	0	0	0	0	0	1	0	1	0
g025072	1	1	1	1	1	1	1	1	1	1	1	1
g025073	1	1	1	1	1	1	1	1	1	1	1	1
g025074	1	1	1	1	1	1	1	1	1	1	1	0
g025075	1	1	1	1	1	1	1	1	1	1	1	1
g025076	1	1	1	1	1	1	1	1	1	1	1	1
g025077	1	1	1	1	1	1	1	1	1	1	1	1
g025078	1	1	1	1	1	1	1	1	1	1	1	1
g025079	1	1	1	1	1	1	1	1	1	1	1	1
g025080	0	0	1	1	0	1	1	1	0	0	1	0
g025081	0	0	0	0	0	0	0	0	0	0	1	0
g025082	1	1	1	1	1	1	1	1	1	1	1	1
g025083	1	1	1	1	1	1	1	1	1	1	1	1
g025084	0	0	0	0	0	0	0	1	0	0	1	0
g025085	0	0	0	0	0	0	0	0	0	0	1	0
g025086	0	0	0	0	0	0	0	0	0	0	1	0
g025087	0	0	0	0	0	0	0	0	0	0	1	0
g025088	1	1	1	1	1	1	1	1	1	1	1	1
g025089	1	0	0	0	0	0	0	0	0	0	1	0
g025090	1	1	0	0	0	0	0	0	1	0	1	0
g025091	0	0	0	0	0	0	0	0	0	0	1	0
g025092	0	0	0	0	0	0	0	0	0	0	1	0
g025093	0	0	0	0	0	0	0	0	0	0	1	0
g025094	1	1	1	1	1	1	1	1	1	1	1	1
g025095	0	0	0	0	0	0	0	0	0	0	1	0
g025096	0	0	0	0	0	0	0	0	0	0	1	0
g025097	0	0	0	0	0	0	0	0	0	0	1	0
g025098	0	0	0	0	0	0	0	0	0	0	1	0
g025099	0	0	0	0	0	0	0	0	0	0	1	0
g025100	0	0	0	0	0	0	0	0	0	0	1	0
g025101	0	0	0	0	0	0	0	0	0	0	1	0
g025102	0	0	0	0	0	0	0	0	0	0	1	0
g025103	0	0	0	0	0	0	0	0	0	0	1	0
g025104	0	0	0	0	0	0	0	0	0	0	1	0
g025105	0	0	0	0	0	0	0	0	0	0	1	0
g025106	0	0	0	0	0	0	0	0	0	0	1	0
g025107	0	0	0	0	0	0	0	0	0	0	1	0
g025108	0	0	0	0	0	0	0	0	0	0	1	0
g025109	0	0	0	0	0	0	0	0	0	0	1	0
g025110	0	0	0	0	0	0	0	0	0	0	1	0
g025111	0	0	0	0	0	0	0	0	0	0	1	0
g025112	0	0	0	0	0	0	0	0	0	0	1	0
g025113	0	0	0	0	0	0	0	0	0	0	1	0
g025114	0	0	0	0	0	0	0	0	0	0	1	0
g025115	0	0	0	0	0	0	0	0	0	0	1	0
g025116	0	0	0	0	0	0	0	0	0	0	1	0
g025117	0	0	0	0	0	0	0	0	0	0	1	0
g025118	0	0	0	0	0	0	0	0	0	0	1	0
g025119	0	0	0	0	0	0	0	0	0	0	1	0
g025120	1	1	1	1	1	1	1	1	1	1	1	1
g025121	0	0	0	0	0	0	0	0	0	0	1	0
g025122	0	0	0	0	0	0	0	0	0	0	1	0
g025123	0	0	0	0	0	0	0	0	0	0	1	0
g025124	0	0	0	0	0	0	0	0	0	0	1	0
g025125	1	1	1	1	1	1	1	1	1	1	1	1
g025126	1	1	1	1	1	1	1	1	1	1	1	1
g025127	0	1	1	1	1	1	1	1	1	1	1	0
g025128	1	1	1	1	1	1	1	1	1	1	1	1
g025129	1	1	1	1	1	1	1	1	1	1	1	1
g025130	1	1	1	1	1	1	1	1	1	1	1	1
g025131	0	0	0	0	0	0	0	0	0	0	1	0
g025132	1	1	1	1	1	1	1	0	1	1	1	1
g025133	1	1	1	1	1	1	1	1	1	1	1	1
g025134	0	1	0	0	0	0	0	0	0	0	1	0
g025135	0	0	0	0	0	0	0	0	0	0	1	0
g025136	1	0	0	0	0	0	0	0	1	0	1	0
g025137	1	1	1	1	1	1	1	1	1	1	1	1
g025138	0	0	1	1	1	1	0	1	1	1	1	0
g025139	1	0	0	0	0	0	0	0	0	0	1	0
g025140	1	1	1	1	1	1	1	1	1	1	1	1
g025141	0	0	1	1	1	1	1	1	1	1	1	1
g025142	0	1	0	0	0	0	0	0	1	1	1	0
g025143	0	0	0	0	0	0	0	0	0	0	1	0
g025144	1	0	1	1	1	1	1	1	1	1	1	1
g025145	0	0	0	0	0	0	0	0	0	0	1	0
g025146	1	1	1	1	1	1	1	1	1	1	1	0
g025147	0	0	0	0	0	0	0	0	0	0	1	0
g025148	0	0	0	0	0	0	0	1	1	0	1	0
g025149	1	1	1	1	1	1	0	0	1	0	1	1
g025150	1	1	1	1	1	1	1	1	1	1	1	1
g025151	1	1	0	0	0	0	0	0	1	0	1	0
g025152	1	1	1	1	1	1	1	1	1	1	1	1
g025153	1	1	1	0	0	0	0	0	1	1	1	1
g025154	0	0	0	0	0	0	0	0	0	0	1	0
g025155	1	0	0	0	0	0	0	0	1	0	1	0
g025156	1	0	0	0	0	0	0	0	0	0	1	0
g025157	0	0	1	1	1	1	1	1	0	1	1	0
g025158	0	0	0	0	0	0	0	0	0	0	1	0
g025159	1	1	1	1	1	1	1	1	1	1	1	1
g025160	0	0	0	0	0	0	0	0	0	0	1	0
g025161	0	0	0	0	0	0	0	0	1	0	1	0
g025162	1	1	1	0	0	0	0	0	1	0	1	1
g025163	1	1	1	1	1	1	1	1	1	1	1	1
g025164	1	1	1	1	1	1	1	1	1	1	1	1
g025165	1	0	1	1	1	1	1	1	0	0	1	0
g025166	0	0	1	1	1	1	0	1	0	0	1	0
g025167	1	1	1	1	1	1	1	1	1	1	1	1
g025168	0	1	1	1	1	1	1	0	0	0	1	0
g025169	1	0	1	0	0	0	0	0	0	0	1	0
g025170	0	0	0	0	0	0	0	0	0	0	1	0
g025171	0	0	0	0	0	0	0	0	0	0	1	0
g025172	0	0	0	0	0	0	0	0	0	0	1	1
g025173	0	0	0	0	0	0	0	0	0	0	1	0
g025174	0	0	0	0	0	0	0	0	0	0	1	0
g025175	0	0	0	0	0	0	1	0	1	0	1	0
g025176	0	0	0	0	0	0	0	0	0	0	1	0
g025177	0	0	0	0	0	0	0	0	0	0	1	0
g025178	0	0	0	0	0	0	0	0	0	0	1	0
g025179	0	1	0	0	0	0	0	1	0	0	1	1
g025180	0	0	0	0	1	0	1	0	0	0	1	0
g025181	0	1	1	1	1	1	1	1	1	0	1	1
g025182	1	1	1	1	1	1	1	0	1	1	1	1
g025183	1	1	1	1	1	1	1	1	1	1	1	1
g025184	1	1	1	1	1	1	1	1	1	1	1	1
g025185	1	1	1	1	1	1	1	1	1	1	1	1
g025186	1	1	1	1	1	1	1	1	1	1	1	1
g025187	1	1	1	1	1	1	1	1	1	1	1	1
g025188	0	1	1	1	1	1	0	1	1	0	1	0
g025189	1	1	0	1	0	1	1	1	0	0	1	0
g025190	1	1	0	0	1	0	0	0	1	0	1	1
g025191	1	1	1	1	1	1	1	0	0	0	1	0
g025192	0	0	0	0	0	0	0	0	0	0	1	0
g025193	0	0	0	0	1	0	0	0	0	0	1	0
g025194	0	0	0	0	0	0	1	0	0	0	1	0
g025195	1	1	1	1	1	1	1	1	1	1	1	1
g025196	1	1	1	1	1	1	1	1	1	1	1	1
g025197	0	1	0	0	0	1	0	0	0	0	1	0
g025198	1	1	0	1	1	1	1	1	1	0	1	0
g025199	1	1	1	1	1	1	1	1	1	1	1	1
g025200	1	1	1	1	1	1	1	1	1	1	1	1
g025201	1	1	1	1	1	1	1	1	1	1	1	1
g025202	0	1	1	1	1	1	1	1	1	1	1	1
g025203	0	0	1	0	1	0	0	1	0	1	1	0
g025204	1	1	1	1	1	1	1	1	1	1	1	1
g025205	1	1	1	1	1	1	1	1	1	1	1	1
g025206	0	1	1	1	1	1	1	1	1	1	1	1
g025207	1	1	1	1	1	1	1	1	1	1	1	1
g025208	0	0	1	0	1	0	1	1	0	0	1	1
g025209	0	0	0	0	0	0	0	0	0	0	1	0
g025210	1	1	1	1	1	0	1	0	0	0	1	0
g025211	1	1	1	1	1	1	1	1	1	1	1	1
g025212	0	0	1	1	1	1	1	0	1	1	1	0
g025213	1	0	0	0	0	1	0	0	0	0	1	0
g025214	1	1	1	1	1	1	1	1	1	1	1	1
g025215	0	1	1	1	1	1	1	1	1	1	1	1
g025216	1	1	1	1	1	1	1	1	1	1	1	1
g025217	1	1	1	1	1	1	1	1	1	1	1	1
g025218	1	1	1	1	1	1	1	1	1	1	1	1
g025219	1	1	1	1	1	1	1	1	1	1	1	1
g025220	0	0	0	0	0	0	0	0	0	0	1	0
g025221	0	0	0	0	0	0	0	0	0	1	1	0
g025222	0	0	0	0	0	0	0	0	0	1	1	0
g025223	0	0	0	0	0	0	0	0	0	0	1	0
g025224	0	0	0	0	0	0	0	0	0	1	1	0
g025225	0	0	0	0	0	0	0	0	0	0	1	0
g025226	0	0	0	0	0	0	0	0	0	0	1	0
g025227	0	0	0	0	0	0	0	0	0	0	1	0
g025228	0	0	0	0	0	0	0	0	0	0	1	0
g025229	0	0	0	0	0	0	0	0	0	0	1	0
g025230	0	0	0	0	0	0	0	0	0	0	1	0
g025231	0	0	0	0	0	0	0	0	0	0	1	0
g025232	0	0	0	0	0	0	0	0	0	0	1	0
g025233	0	0	0	0	0	0	0	0	0	0	1	0
g025234	0	0	0	0	0	0	0	0	0	0	1	0
g025235	0	0	0	0	0	0	0	0	0	0	1	0
g025236	0	0	0	0	0	0	0	0	0	0	1	0
g025237	0	0	0	0	0	0	0	0	0	0	1	0
g025238	0	0	0	0	0	0	0	0	0	0	1	0
g025239	0	0	0	0	0	0	0	0	0	0	1	0
g025240	0	0	0	0	0	0	0	0	0	0	1	0
g025241	0	0	0	0	0	0	0	0	0	0	1	0
g025242	0	0	0	0	0	0	0	0	0	0	1	1
g025243	0	0	0	0	0	0	0	0	0	0	1	1
g025244	0	0	0	0	0	0	0	0	0	0	1	0
g025245	0	0	0	0	0	0	0	0	0	0	1	0
g025246	0	1	1	1	1	0	1	1	1	1	1	1
g025247	1	1	1	1	1	1	1	1	1	1	1	1
g025248	1	1	1	1	1	1	1	1	1	1	1	1
g025249	0	0	0	0	0	0	0	0	0	0	1	0
g025250	0	0	1	1	1	1	1	1	0	0	1	0
g025251	0	0	0	0	0	1	0	1	0	0	1	0
g025252	1	1	1	1	1	1	1	1	1	1	1	1
g025253	0	0	0	0	0	0	0	0	0	0	1	0
g025254	0	0	0	0	0	0	0	0	0	0	1	0
g025255	1	1	1	1	1	1	1	1	1	1	1	1
g025256	1	1	1	1	1	1	1	1	1	1	1	1
g025257	0	1	1	1	0	1	1	1	1	1	1	1
g025258	0	1	1	1	1	1	1	1	1	1	1	1
